,dataset,solver,scheduler,cacher_quantizer,SEC_PER_IMG,TFLOPS,bits_per_weight,FID,IS,CLIP,nfe
39,COCO,DEIS,LINEAR,NONE,2.6630936904624103,119.673446640074,,20.001737594604492,37.95452880859375,33.70156478881836,10
40,COCO,DEIS,AYS,NONE,1.3679910784587264,59.891715820839,,30.776851654052734,30.161922454833984,32.30741500854492,5
41,COCO,DEIS,AYS,NONE,4.435505437478423,203.367869918086,,19.811784744262695,38.99298858642578,33.72833251953125,17
42,COCO,DEIS,LINEAR,NONE,1.3184802625328302,59.891715820839,,23.138593673706055,35.23992919921875,33.37397003173828,5
43,COCO,DEIS,DDIM,NONE,2.5571815256029367,299.018639228862,,21.027936935424805,37.72855758666992,33.72184753417969,25
44,COCO,DEIS,LINEAR,NONE,2.562657895796001,299.018639228862,,20.47451400756836,39.277503967285156,33.8128662109375,25
45,COCO,DEIS,AYS,NONE,2.572268486097455,299.018639228862,,20.46058464050293,38.98605728149414,33.78093338012695,25
46,COCO,DEIS,KARRAS,NONE,1.7355618001520634,203.367869918086,,20.563678741455078,39.03135681152344,33.75071716308594,17
47,COCO,DEIS,SNR,NONE,1.7355413719639181,203.367869918086,,20.267797470092773,39.352699279785156,33.6884765625,17
48,COCO,DEIS,KARRAS,NONE,2.534696782715619,299.018639228862,,20.857566833496094,39.392913818359375,33.76853561401367,25
49,COCO,DEIS,SNR,NONE,2.5580352805927395,299.018639228862,,20.64544105529785,39.109439849853516,33.7698860168457,25
50,COCO,DPMS,AYS,NONE,4.47798866443336,203.367867820861,,20.712203979492188,38.7502555847168,33.71484375,17
51,COCO,DPMS,SNR,NONE,2.620015927106142,119.673445591464,,20.391324996948242,38.093833923339844,33.4848518371582,10
52,COCO,DPMSORIG,AYS,NONE,1.3295024082809688,59.891715427617,,29.10355567932129,30.364253997802734,32.378700256347656,5
53,COCO,DPMS,SNR,NONE,4.469501170143485,203.367867820861,,20.75288200378418,39.205177307128906,33.687862396240234,17
54,COCO,DDIM,SNR,NONE,1.908327909372747,83.804407493111,,27.469324111938477,33.84813690185547,32.9894905090332,7
55,COCO,DDIM,KARRAS,NONE,1.8604921014606952,83.804407493111,,25.06194305419922,35.26987838745117,33.265350341796875,7
56,COCO,DPMSORIG,KARRAS,NONE,1.340708927065134,59.891715427617,,37.28651428222656,27.31954574584961,32.21038818359375,5
57,COCO,UNIPC,KARRAS,NONE,1.3515328458091245,59.891715689826,,39.96922302246094,25.736072540283203,32.11138153076172,5
58,COCO,DDIM,SNR,NONE,1.3266576711088418,59.891715427585,,49.54594802856445,24.48715591430664,31.678611755371094,5
59,COCO,DPMSORIG,LINEAR,NONE,5.08768855061382,597.927286902312,,20.92820930480957,38.965782165527344,33.8260383605957,50
